Tipo GLPI,Categoria GCC,Campo GLPI,Campo GCC,Tipo do Valor,Origem,Exibição Atual,Edição Atual no GCC,Suporte GLPI,Permissão Necessária,Validação,Evidência,Pendência
Computer,computer_cs,id,glpiId,int,GLPI,readonly,readonly,Sim,computadores/view,Campo retornado por expand_dropdowns,mappers.php:23,--
Computer,computer_cs,name,nome,string,GLPI,exibido,editável (string),Sim,computadores/edit,Filtro trim,AssetWriteService.filterEditableFields,--
Computer,computer_cs,serial,serial,string,GLPI,exibido,editável (string),Sim,computadores/edit,Filtro trim,AssetWriteService.filterEditableFields,--
Computer,computer_cs,otherserial,patrimonio,string,GLPI,exibido,editável (string),Sim,computadores/edit,Filtro trim,AssetWriteService.filterEditableFields,--
Computer,computer_cs,contact,nome_alternativo_usuario,string,GLPI,exibido,editável (string),Sim,computadores/edit,Filtro trim,AssetWriteService.filterEditableFields,--
Computer,computer_cs,contact_num,numero_nome_alternativo_usuario,string,GLPI,exibido,editável (string),Sim,computadores/edit,Filtro trim,AssetWriteService.filterEditableFields,--
Computer,computer_cs,comment,comentario,textarea,GLPI,exibido,editável (string),Sim,computadores/edit,Filtro trim,AssetWriteService.filterEditableFields,--
Computer,computer_cs,locations_id,reparticao,id (dropdown),GLPI,exibido,editável (dropdown),Sim,computadores/edit,Requer ID válido da coleção Location,AssetWriteService.filterEditableFields,Sprint 3
Computer,computer_cs,groups_id,grupo,id (dropdown),GLPI,exibido,editável (dropdown),Sim,computadores/edit,Requer ID válido da coleção Group,AssetWriteService.filterEditableFields,Sprint 3
Computer,computer_cs,users_id,usuario,id (dropdown),GLPI,exibido,editável (dropdown),Sim,computadores/edit,Requer ID válido da coleção User,AssetWriteService.filterEditableFields,Sprint 3
Computer,computer_cs,states_id,status,id (dropdown),GLPI,exibido,editável (dropdown),Sim,computadores/edit,Requer ID válido da coleção State,AssetWriteService.filterEditableFields,Sprint 3
Computer,computer_cs,entities_id,entity_name,string (label),GLPI,exibido,somente leitura,Sim,computadores/view,extractName converte para label,mappers.php:224,Entidade não editável
Computer,computer_cs,computertypes_id,type_name,string (label),GLPI,exibido,somente leitura,Sim,computadores/view,extractName converte para label,mappers.php:229,Tipo não editável (define classificação)
Computer,computer_cs,manufacturers_id,manufacturer_name,string (label),GLPI,exibido,somente leitura,Sim,computadores/view,extractName converte para label,mappers.php:228,--
Computer,computer_cs,operatingsystems_id,os_name,string (label),GLPI,exibido,somente leitura,Sim,computadores/view,extractName converte para label,mappers.php:231,--
Computer,computer_cs,uuid,uuid,string,GLPI,exibido,somente leitura,Sim,computadores/view,Campo direto,mappers.php:230,--
Computer,computer_cs,date_creation,date_creation,datetime,GLPI,exibido,somente leitura,Sim,computadores/view,Campo direto,mappers.php:236,--
Computer,computer_cs,date_mod,date_mod,datetime,GLPI,exibido,somente leitura,Sim,computadores/view,Campo direto,mappers.php:237,--
Computer,computer_cs,template_name,template_name,string (label),GLPI,exibido,somente leitura,Sim,computadores/view,extractName converte para label,mappers.php:238,--
Computer,chromebook_student,id,glpiId,int,GLPI,readonly,readonly,Sim,computadores/view,Campo retornado por expand_dropdowns,mappers.php:23,--
Computer,chromebook_student,name,nome,string,GLPI,exibido,editável (string),Sim,computadores/edit,Filtro trim,AssetWriteService.filterEditableFields,Sprint 3
Computer,chromebook_student,serial,serial,string,GLPI,exibido,editável (string),Sim,computadores/edit,Filtro trim,AssetWriteService.filterEditableFields,Sprint 3
Computer,chromebook_student,groups_id,grupo,id (dropdown),GLPI,exibido,editável (dropdown),Sim,computadores/edit,Requer ID válido da coleção Group,AssetWriteService.filterEditableFields,Sprint 3
Computer,chromebook_student,users_id,usuario,id (dropdown),GLPI,exibido,editável (dropdown),Sim,computadores/edit,Requer ID válido da coleção User,AssetWriteService.filterEditableFields,Sprint 3
Computer,chromebook_support,id,glpiId,int,GLPI,readonly,readonly,Sim,computadores/view,Campo retornado por expand_dropdowns,mappers.php:23,--
Computer,chromebook_support,name,nome,string,GLPI,exibido,editável (string),Sim,computadores/edit,Filtro trim,AssetWriteService.filterEditableFields,Sprint 3
Computer,chromebook_support,serial,serial,string,GLPI,exibido,editável (string),Sim,computadores/edit,Filtro trim,AssetWriteService.filterEditableFields,Sprint 3
Computer,chromebook_support,users_id,usuario,id (dropdown),GLPI,exibido,editável (dropdown),Sim,computadores/edit,Requer ID válido da coleção User,AssetWriteService.filterEditableFields,Sprint 3
Computer,chromebook_support,computermodels_id,modelo,id (dropdown),GLPI,exibido,somente leitura,Sim,computadores/view,Requer ID válido da coleção ComputerModel,--,Modelo não editável
Computer,chromebook_display,id,glpiId,int,GLPI,readonly,readonly,Sim,computadores/view,Campo retornado por expand_dropdowns,mappers.php:23,--
