Itemtype,Operação,Método,Rota GCC,Rota GLPI,Payload,Retorno Esperado,Permissão GCC,Permissão GLPI,Tratamento de Erros,Impacto Cache,Implementação no GCC,Comprovação,Evidência,Observação
Computer,Listar,GET,/api/assets/computers,/Computer,--,"{ok:true, data:[], count:N}",computadores/view,Computer:READ,"Responde::erro 502 se GLPI falhar",Cache classified_assets.json invalidado,Fully implemented,C,"endpoints.php:137-204, sync.php:139-143",Busca todos, classifica e filtra por CAT_COMPUTADOR
Computer,Detalhe,GET,/api/assets/computers/{id},/Computer/{id}?expand_dropdowns=true,--,"{ok:true, data:{asset, editableValues, sections}}",computadores/view,Computer:READ,"Responde::erro 404 se não encontrado",Sem impacto (consulta sob demanda),Fully implemented,C,"endpoints.php:171-185, 206-213",Retorna asset, editableValues e sections estruturadas
Computer,Criar,POST,/api/assets/computers,/Computer POST,"{input:{name,serial,otherserial,contact,contact_num,comment,locations_id,groups_id,users_id,states_id}}","{ok:true, data:{operation_id, status, after:{...}}}",computadores/edit,Computer:CREATE,"Responde::erro 422 se name ausente, 502 se GLPI falhar",Cache do frontend invalidado via callback,Fully implemented,C,"AssetWriteService.create() → GlpiClient::createAsset","Payload filtrado por allow-list; required: name","name obrigatório; dropdowns validados por coleção; resultado com before/after read-back"
Computer,Atualizar,POST / PUT,/api/assets/computers/{id},/Computer/{id} PUT,"{input:{name,serial,otherserial,contact,contact_num,comment,locations_id,groups_id,users_id,states_id}}","{ok:true, data:{operation_id, status, before:{...}, after:{...}, changes:[...]}}",computadores/edit,Computer:UPDATE,"Responde::erro 422 se vazio, 502 se GLPI falhar",Cache do frontend invalidado via callback,Fully implemented,C,"AssetWriteService.update() → GlpiClient::updateAsset","Payload filtrado por allow-list; campos não editáveis ignorados","Inclui before/after read-back e diff de mudanças"
Computer,Excluir (logical),POST,/api/assets/computers/{id}/delete,/Computer/{id} PUT (states_id=Inativo),"--","{ok:true, data:{operation_id, status, before, after}}",computadores/edit,Computer:UPDATE,"Responde::erro 502 se GLPI falhar; erro se State collection inacessível",Cache do frontend invalidado via callback,Fully implemented,C,"AssetWriteService.delete() → seta states_id via GlpiClient","Exclusão lógica: define states_id=Inativo","states_id resolvido via GlpiClient::getAllWithParams; se coleção inacessível retorna erro explícito"
Computer,Restaurar,POST,/api/assets/computers/{id}/restore,/Computer/{id} PUT (states_id=Em uso),"--","{ok:true, data:{operation_id, status, before, after}}",computadores/edit,Computer:UPDATE,"Mesmo tratativa da exclusão",Cache do frontend invalidado via callback,Fully implemented,C,"AssetWriteService.restore() → seta states_id via GlpiClient","Restaura: define states_id=Em uso","states_id resolvido via GlpiClient::getAllWithParams"
Printer,Listar,GET,/api/assets/impressoras,/Printer,--,"{ok:true, data:[], count:N}",impressoras/view,Printer:READ,"Responde::erro 502 se GLPI falhar",Cache classified_assets.json invalidado,Fully implemented,C,"endpoints.php:154-169, 319-330",Busca todos os printers
Printer,Detalhe,GET,/api/assets/printers/{id},/Printer/{id}?expand_dropdowns=true,--,"{ok:true, data:{asset, editableValues, sections}}",impressoras/view,Printer:READ,"Responde::erro 404 se não encontrado",Sem impacto,Fully implemented,C,"endpoints.php:215-236","editableValues inclui name, serial, dropdowns","Sprint 3: editableValues retorna campos editáveis com IDs de dropdowns"
Printer,Criar,POST,/api/assets/printers,/Printer POST,"{input:{name,serial,otherserial,contact,contact_num,comment,locations_id,users_id,states_id,printermodels_id,manufacturers_id}}","{ok:true, data:{operation_id, status, after:{...}}}",impressoras/edit,Printer:CREATE,"Responde::erro 422 se name ausente, 502 se GLPI falhar",Cache do frontend invalidado via callback,Fully implemented,C,"AssetWriteService.create() → GlpiClient::createAsset","Payload filtrado por allow-list; required: name","name obrigatório; dropdowns validados por coleção"
Printer,Atualizar,POST / PUT,/api/assets/printers/{id},/Printer/{id} PUT,"{input:{name,serial,otherserial,contact,contact_num,comment,locations_id,users_id,states_id,printermodels_id,manufacturers_id}}","{ok:true, data:{operation_id, status, before, after, changes}}",impressoras/edit,Printer:UPDATE,"Responde::erro 422 se vazio, 502 se GLPI falhar",Cache do frontend invalidado via callback,Fully implemented,C,"AssetWriteService.update() → GlpiClient::updateAsset","Payload filtrado por allow-list; campos não editáveis ignorados","Sprint 3: Printer agora totalmente editável"
